Nombre,Resultado,Tipo
México vs Sudáfrica,,Partido
Corea del Sur vs República Checa,,Partido
República Checa vs Sudáfrica,,Partido
México vs Corea del Sur,,Partido
República Checa vs México,,Partido
Sudáfrica vs Corea del Sur,,Partido
Canadá vs Bosnia y Herzegovina,,Partido
Qatar vs Suiza,,Partido
Suiza vs Bosnia y Herzegovina,,Partido
Canadá vs Qatar,,Partido
Suiza vs Canadá,,Partido
Bosnia y Herzegovina vs Qatar,,Partido
Brasil vs Marruecos,,Partido
Haití vs Escocia,,Partido
Escocia vs Marruecos,,Partido
Brasil vs Haití,,Partido
Escocia vs Brasil,,Partido
Marruecos vs Haití,,Partido
Estados Unidos vs Paraguay,,Partido
Australia vs Turquía,,Partido
Turquía vs Paraguay,,Partido
Estados Unidos vs Australia,,Partido
Turquía vs Estados Unidos,,Partido
Paraguay vs Australia,,Partido
Alemania vs Curazao,,Partido
Costa de Marfil vs Ecuador,,Partido
Alemania vs Costa de Marfil,,Partido
Ecuador vs Curazao,,Partido
Ecuador vs Alemania,,Partido
Curazao vs Costa de Marfil,,Partido
Países Bajos vs Japón,,Partido
Suecia vs Túnez,,Partido
Países Bajos vs Suecia,,Partido
Túnez vs Japón,,Partido
Japón vs Suecia,,Partido
Túnez vs Países Bajos,,Partido
Bélgica vs Egipto,,Partido
Irán vs Nueva Zelanda,,Partido
Bélgica vs Irán,,Partido
Nueva Zelanda vs Egipto,,Partido
Egipto vs Irán,,Partido
Nueva Zelanda vs Bélgica,,Partido
España vs Cabo Verde,,Partido
Arabia Saudita vs Uruguay,,Partido
España vs Arabia Saudita,,Partido
Uruguay vs Cabo Verde,,Partido
Cabo Verde vs Arabia Saudita,,Partido
Uruguay vs España,,Partido
Francia vs Senegal,,Partido
Iraq vs Noruega,,Partido
Francia vs Iraq,,Partido
Noruega vs Senegal,,Partido
Noruega vs Francia,,Partido
Senegal vs Iraq,,Partido
Argentina vs Argelia,,Partido
Austria vs Jordania,,Partido
Argentina vs Austria,,Partido
Jordania vs Argelia,,Partido
Argelia vs Austria,,Partido
Jordania vs Argentina,,Partido
Portugal vs RD del Congo,,Partido
Uzbekistán vs Colombia,,Partido
Portugal vs Uzbekistán,,Partido
RD del Congo vs Colombia,,Partido
Colombia vs Portugal,,Partido
RD del Congo vs Uzbekistán,,Partido
Inglaterra vs Croacia,,Partido
Ghana vs Panamá,,Partido
Inglaterra vs Ghana,,Partido
Panamá vs Croacia,,Partido
Panamá vs Inglaterra,,Partido
Croacia vs Ghana,,Partido
¿Quién será el CAMPEÓN del Mundial 2026?,,Extra PLUS
¿Cuántos goles se convertirán en la FINAL?,,Extra PLUS
¿Cuál de los siguientes jugadores convertirá MÁS GOLES?,,Extra PLUS
¿Quién será el SUBCAMPEÓN del Mundial 2026?,,Extra
¿Quién saldrá TERCERO en el Mundial 2026?,,Extra
¿Cuál será el EQUIPO MÁS GOLEADOR del torneo?,,Extra
¿Cuál será el EQUIPO MENOS GOLEADO del torneo?,,Extra
¿Cuál será la MAYOR CANTIDAD DE GOLES en un solo partido?,,Extra
¿Cuántos goles convertirá el GOLEADOR del Mundial?,,Extra
¿Qué fase va a alcanzar la selección Argentina?,,Extra
"¿Qué selección que nunca fué campeón del mundo, llegará más lejos?",,Extra
"¿De las selecciones ""Cabeza de serie"", quién quedará eliminada en la fase más temprana?",,Extra
¿Cuántas definiciones por PENALES tendrá la selección Argentina?,,Extra
¿Cuántos goles va a hacer Messi en todo el mundial?,,Extra
¿La final del mundial se va a definir por penales?,,Extra
